image_a,group_a,split_a,image_b,group_b,split_b,ransac_inliers,orb_matches,thumb_corr,cross_split,involves_test
IMG_78701_jpg,normal,train,IMG_7870_jpg,normal,train,783,788,0.999,False,False
IMG_7004 (2)_jpg,high,train,IMG_7004 (1)_jpg,high,train,640,678,0.815,False,False
IMG_2796_jpg,high,train,IMG_2795-_jpg,high,train,499,527,0.956,False,False
IMG_2821_jpg,high,test,IMG_2819-_jpg,high,train,429,473,0.876,True,True
IMG_4290_jpg,normal,train,IMG_4292_jpg,normal,valid,421,473,0.885,True,False
IMG_3079_jpg,high,train,IMG_3082-_jpg,high,valid,419,494,0.936,True,False
IMG_3160_jpg,high,test,IMG_3163-_jpg,high,train,413,513,0.932,True,True
IMG_2855_jpg,high,train,IMG_2856-_jpg,high,valid,410,449,0.942,True,False
IMG_3660_jpg,low,test,IMG_3659_jpg,low,train,407,479,0.865,True,True
IMG_3059_jpg,high,train,IMG_3061-_jpg,high,train,407,446,0.966,False,False
IMG_3850-_jpg,high,train,IMG_3853-_jpg,high,train,400,465,0.976,False,False
IMG_3684-_jpg,high,train,IMG_3682_jpg,high,train,385,432,0.95,False,False
IMG_3827-_jpg,high,train,IMG_3831-_jpg,high,train,385,445,0.948,False,False
IMG_3129_jpg,high,train,IMG_3126-_jpg,high,valid,372,431,0.929,True,False
IMG_3694-_jpg,high,train,IMG_3693-_jpg,high,valid,357,400,0.86,True,False
IMG_2790_jpg,normal,valid,IMG_2791_jpg,normal,valid,345,451,0.907,False,False
gummy42_JPG,low,train,gummy16_JPG,low,train,341,500,0.953,False,False
IMG_3591-_jpg,high,test,IMG_3595-_jpg,high,valid,339,378,0.921,True,True
IMG_4278_jpg,normal,test,IMG_4276_jpg,normal,test,332,424,0.953,False,True
IMG_2916-_jpg,high,train,IMG_2918_jpg,high,train,329,396,0.901,False,False
111 (1)_jpg,high,train,111 (2)-_jpg,high,train,324,380,0.927,False,False
IMG_3110_jpg,high,train,IMG_3111-_jpg,high,train,318,343,0.97,False,False
IMG_3858-_jpg,high,train,IMG_3854-_jpg,high,train,295,419,0.896,False,False
IMG_3169-_jpg,high,test,IMG_3172_jpg,high,train,272,350,0.884,True,True
IMG_3095-_jpg,high,train,IMG_3098_jpg,high,train,268,456,0.936,False,False
IMG_2923_jpg,normal,train,IMG_2924_jpg,normal,valid,263,309,0.972,True,False
IMG_3785-_jpg,high,test,IMG_3786-_jpg,high,train,263,354,0.873,True,True
IMG_2456_jpeg,high,test,IMG_24555_jpg,high,train,259,351,0.82,True,True
IMG_24400_jpeg,high,train,IMG_2444_jpeg,high,train,258,371,0.771,False,False
IMG_2643-_jpg,high,train,IMG_2648_jpg,high,train,240,338,0.841,False,False
IMG_3114-_jpg,high,train,IMG_3117_jpg,high,train,236,343,0.849,False,False
IMG_3755_jpg,normal,train,IMG_3753_jpg,normal,train,233,353,0.914,False,False
IMG_2718-_jpg,high,train,IMG_2715-_jpg,high,train,203,305,0.867,False,False
IMG_2947_jpg,high,test,IMG_2946-_jpg,high,train,191,318,0.809,True,True
IMG_4280_jpg,normal,valid,IMG_4282_jpg,normal,valid,187,310,0.872,False,False
IMG_3569-_jpg,high,train,IMG_3570_jpg,high,train,176,256,0.843,False,False
IMG_3811-_jpg,high,train,IMG_3814-_jpg,high,train,165,201,0.955,False,False
IMG_3800-_jpg,high,valid,IMG_3803-_jpg,high,valid,164,288,0.952,False,False
IMG_2846-_jpg,high,test,IMG_2843_jpg,high,train,164,182,0.873,True,True
IMG_3105_jpg,high,train,IMG_3102-_jpg,high,train,162,229,0.915,False,False
IMG_2865-_jpg,high,train,IMG_2862_jpg,high,valid,161,343,0.763,True,False
IMG_3068_jpg,high,train,IMG_3065-_jpg,high,train,159,285,0.777,False,False
IMG_2964-_jpg,high,train,IMG_2969_jpg,high,train,151,211,0.958,False,False
IMG_2665_jpg,high,train,IMG_2668-_jpg,high,train,144,251,0.892,False,False
IMG_2683-_jpg,high,train,IMG_2686_jpg,high,train,139,240,0.793,False,False
IMG_2544-_jpeg,high,train,IMG_2550_jpeg,high,train,133,270,0.803,False,False
IMG_2729_jpg,normal,train,IMG_2730_jpg,normal,train,114,145,0.988,False,False
IMG_1207_JPG,low,test,IMG_1178_JPG,normal,train,109,282,0.772,True,True
IMG_2722_jpg,normal,test,IMG_2723_jpg,normal,train,101,194,0.757,True,True
IMG_2848_jpg,high,train,IMG_2847-_jpg,high,train,85,191,0.782,False,False
IMG_2641_jpg,high,train,IMG_2639-_jpg,high,train,79,212,0.776,False,False
IMG_3864-_jpg,high,train,IMG_3866-_jpg,high,valid,76,139,0.899,True,False
23-IMG_4080_JPG,normal,test,23-IMG_4094_JPG,normal,train,72,285,0.766,True,True
IMG_2711-_jpg,high,test,IMG_2705-_jpg,high,valid,67,190,0.763,True,True
IMG_9696_jpg,low,train,52-IMG_9695_jpg,normal,test,60,165,0.768,True,True
