image,split
111 (2)-_jpg,train
IMG_24400_jpeg,train
IMG_2444_jpeg,train
IMG_2516-_jpg,train
IMG_2571-_jpeg,train
IMG_2633-_jpg,train
IMG_2633_jpg,train
IMG_2639-_jpg,train
IMG_2643-_jpg,train
IMG_2668-_jpg,train
IMG_2670-_jpg,valid
IMG_2683-_jpg,train
IMG_2692-_jpg,train
IMG_2705-_jpg,valid
IMG_2715-_jpg,train
IMG_2734-_jpg,train
IMG_2738-_jpg,test
IMG_2750-_jpg,train
IMG_2762-_jpg,train
IMG_2775-_jpg,train
IMG_2795-_jpg,train
IMG_2819-_jpg,train
IMG_2846-_jpg,test
IMG_2847-_jpg,train
IMG_2856-_jpg,valid
IMG_2865-_jpg,train
IMG_2888-_jpg,train
IMG_2908-_jpg,test
IMG_2916-_jpg,train
IMG_2946-_jpg,train
IMG_2964-_jpg,train
IMG_3061-_jpg,train
IMG_3065-_jpg,train
IMG_3082-_jpg,valid
IMG_3095-_jpg,train
IMG_3102-_jpg,train
IMG_3111-_jpg,train
IMG_3114-_jpg,train
IMG_3126-_jpg,valid
IMG_3163-_jpg,train
IMG_3169-_jpg,test
IMG_3551-_jpg,train
IMG_3569-_jpg,train
IMG_3591-_jpg,test
IMG_3694-_jpg,train
IMG_3786-_jpg,train
IMG_3789-_jpg,train
IMG_3803-_jpg,valid
IMG_3814-_jpg,train
IMG_3831-_jpg,train
IMG_3850-_jpg,train
IMG_3864-_jpg,train
IMG_6954 (1)_jpg,train
IMG_6969 (1)_jpg,train
IMG_6975 (1)_jpg,train
IMG_6979 (1)_jpg,valid
IMG_6982 (1)_jpg,train
IMG_6990 (1)_jpg,train
IMG_7004 (1)_jpg,train
IMG_7004 (2)_jpg,train
IMG_7017 (1)_jpg,valid
IMG_7020 (1)_jpg,train
IMG_7022 (1)_jpg,train
gummy48_JPG,test
gummy6_JPG,train
gummy7_JPG,test
