uid,gap_median_px,gap_q1_px,gap_q3_px,n_gingiva_instances,n_lip_instances,boundary_flag
high/IMG_7307_jpg,10.0,9.0,13.0,1,1,False
high/IMG_6921_jpg,12.0,8.0,14.0,1,1,False
high/IMG_2843_jpg,2.0,0.0,12.0,1,1,False
high/IMG_8575_jpg,23.0,15.0,27.0,1,1,False
high/IMG_6842_jpg,14.0,13.0,22.0,1,1,False
high/IMG_7304_jpg,12.0,11.0,13.0,1,1,False
high/IMG_6573-_jpg,1.0,0.0,5.0,1,1,False
high/IMG_2695_jpg,3.0,0.0,9.0,1,1,False
high/IMG_8568_jpg,7.0,2.0,11.0,1,1,False
high/IMG_6460-_jpg,12.0,6.0,15.0,1,1,False
high/IMG_6706_jpg,14.0,9.0,17.0,1,1,False
high/IMG_3079_jpg,4.0,1.0,6.0,1,1,False
high/IMG_2665_jpg,5.0,1.0,8.0,1,1,False
high/IMG_6758_jpg,7.0,5.0,9.0,1,1,False
high/IMG_2574_jpeg,12.0,3.0,17.0,1,1,False
high/IMG_6768_jpg,19.0,12.0,21.0,1,1,False
high/IMG_3068_jpg,10.0,7.0,12.0,1,1,False
high/IMG_6849-_jpg,13.0,11.0,16.0,1,1,False
high/IMG_3110_jpg,9.0,0.0,12.0,1,1,False
high/IMG_8584_jpg,16.0,13.0,20.0,1,1,False
high/111 (1)_jpg,0.0,0.0,4.0,1,1,False
high/IMG_2848_jpg,7.0,1.0,9.0,1,1,False
high/IMG_3098_jpg,2.0,0.0,5.0,1,1,False
high/IMG_6855-_jpg,9.0,4.0,12.0,1,1,False
high/IMG_3105_jpg,6.0,5.0,7.0,1,1,False
high/IMG_6591-_jpg,14.0,10.0,18.0,1,1,False
high/IMG_6933_jpg,47.0,32.0,62.0,1,1,True
high/IMG_6519-_jpg,15.0,13.0,20.0,1,1,False
high/IMG_6745_jpg,9.0,8.0,9.0,1,1,False
high/IMG_3811-_jpg,12.0,7.0,16.0,1,1,False
high/IMG_6918_jpg,4.0,3.0,5.0,1,1,False
high/IMG_8648_jpg,8.0,5.0,11.0,1,1,False
high/IMG_6847_jpg,8.0,6.0,10.0,1,1,False
high/IMG_2718-_jpg,0.0,0.0,4.0,1,1,False
high/IMG_6474-_jpg,9.0,7.0,12.0,1,1,False
high/IMG_6857-_jpg,0.0,0.0,0.0,1,1,False
high/IMG_6724_jpg,13.0,10.0,15.0,1,1,False
high/IMG_7382_jpg,5.0,2.0,7.0,1,1,False
high/IMG_6586-_jpg,7.0,0.0,9.0,1,1,False
high/IMG_3853-_jpg,3.0,0.0,5.0,1,1,False
high/IMG_7311_jpg,10.0,9.0,12.0,1,1,False
high/IMG_7347_jpg,10.0,5.0,15.0,1,1,False
high/IMG_8645_jpg,8.0,4.0,12.0,1,1,False
high/IMG_2648_jpg,2.0,0.0,5.0,1,1,False
high/IMG_7337_jpg,12.0,10.0,15.0,1,1,False
high/IMG_2855_jpg,2.0,1.0,3.0,1,1,False
high/IMG_8630_jpg,21.0,16.0,32.0,1,1,False
high/IMG_2686_jpg,1.0,0.0,9.0,1,1,False
high/IMG_8564_jpg,9.0,7.0,16.0,1,1,False
high/IMG_8594_jpg,11.0,10.0,11.25,1,1,False
high/gg_jpg,13.0,10.0,15.0,1,1,False
high/IMG_3129_jpg,11.0,6.0,15.0,1,1,False
high/IMG_8601_jpg,3.0,1.0,7.0,1,1,False
high/IMG_3059_jpg,10.0,6.0,13.0,1,1,False
high/IMG_2632-_jpg,3.0,0.0,6.0,1,1,False
high/IMG_8649_jpg,10.0,5.0,16.0,1,1,False
high/IMG_6551-_jpg,10.0,8.0,13.0,1,1,False
high/IMG_2892_jpg,3.0,0.0,8.0,1,1,False
high/gummy19_JPG,7.0,3.0,10.0,1,1,False
high/IMG_6803_jpg,5.0,2.0,8.0,1,1,False
high/IMG_6436-_jpg,8.0,5.0,13.0,1,1,False
high/IMG_7375_jpg,9.0,8.0,12.0,1,1,False
high/IMG_2796_jpg,4.0,0.0,5.0,1,1,False
high/IMG_8581_jpg,10.0,6.0,12.0,1,1,False
high/IMG_6876-_jpg,12.0,9.0,15.0,1,1,False
high/IMG_6896_jpg,13.0,11.0,16.0,1,1,False
high/IMG_3117_jpg,7.0,3.0,9.0,1,1,False
high/IMG_2550_jpeg,3.0,0.0,4.0,1,1,False
high/IMG_6806_jpg,8.0,6.0,10.0,1,1,False
high/IMG_6946_jpg,9.0,7.0,11.0,1,1,False
high/IMG_2749-_jpg,0.0,0.0,5.0,1,1,False
high/IMG_2616_jpg,6.0,0.0,10.0,1,1,False
high/gummy21_JPG,5.0,2.0,9.0,1,1,False
high/IMG_3172_jpg,13.0,8.0,16.0,1,1,False
high/IMG_6942_jpg,7.0,4.0,9.0,1,1,False
high/IMG_2522-_jpg,5.0,2.0,6.0,1,1,False
high/IMG_3827-_jpg,6.0,1.0,8.0,1,1,False
high/IMG_2918_jpg,8.0,3.0,12.0,1,1,False
high/IMG_8607_jpg,10.0,8.0,11.0,1,1,False
high/IMG_6773_jpg,6.0,4.0,7.0,1,1,False
high/IMG_8552_jpg,5.0,3.0,9.0,1,1,False
high/IMG_8587_jpg,6.0,4.0,8.0,1,1,False
high/IMG_6905_jpg,8.0,6.0,12.75,1,1,False
high/IMG_2641_jpg,4.0,0.0,8.0,1,1,False
high/IMG_8611_jpg,12.0,9.0,14.0,1,1,False
high/IMG_6791_jpg,3.5,2.0,6.0,1,1,False
high/IMG_7322_jpg,5.0,0.0,9.0,1,1,False
high/IMG_6900_jpg,7.0,5.0,8.0,1,1,False
high/IMG_7323_jpg,14.0,11.0,17.0,1,1,False
high/IMG_7024_jpg,7.0,5.0,10.0,1,1,False
high/IMG_8577_jpg,12.0,7.0,16.0,1,1,False
high/IMG_7350_jpg,5.0,2.0,10.0,1,1,False
high/IMG_8560_jpg,8.0,7.0,10.0,1,1,False
high/IMG_2969_jpg,0.0,0.0,5.0,1,1,False
high/IMG_6868-_jpg,5.0,2.0,8.0,1,1,False
high/IMG_2675_jpg,0.0,0.0,2.0,1,1,False
high/IMG_3684-_jpg,5.0,3.0,8.0,1,1,False
high/IMG_3858-_jpg,8.0,5.0,9.0,1,1,False
high/IMG_8606_jpg,9.0,7.0,11.5,1,1,False
high/IMG_7276_jpg,5.0,2.0,8.0,1,1,False
high/IMG_3570_jpg,,,,1,1,False
high/IMG_8633_jpg,5.0,3.0,7.0,1,1,False
high/IMG_8593_jpg,13.0,7.0,16.0,1,1,False
high/IMG_7309_jpg,9.0,3.0,14.0,1,1,False
high/IMG_3693-_jpg,9.0,4.0,13.0,1,1,False
high/IMG_7289_jpg,18.0,7.0,22.0,1,1,False
high/IMG_3800-_jpg,16.0,11.0,21.0,1,1,False
high/IMG_3595-_jpg,13.0,5.0,16.0,1,1,False
high/IMG_3792-_jpg,6.0,2.0,15.0,1,1,False
high/IMG_3552_jpg,4.0,1.0,6.0,1,1,False
high/IMG_6907_jpg,16.0,12.0,19.0,1,1,False
high/IMG_2739-_jpg,7.0,0.0,14.0,1,1,False
high/gummy30_JPG,5.0,0.0,7.0,1,1,False
high/IMG_3866-_jpg,1.0,0.0,5.0,1,1,False
high/IMG_6488-_jpg,13.0,10.0,16.0,1,1,False
high/IMG_2761-_jpg,3.0,2.0,8.0,1,1,False
high/IMG_6931_jpg,11.0,9.0,14.75,1,1,False
high/IMG_6703_jpg,10.0,6.0,12.0,1,1,False
high/IMG_8579_jpg,12.0,6.0,20.0,1,1,False
high/IMG_6617-_jpg,12.0,9.0,16.0,1,1,False
high/IMG_7280_jpg,5.0,2.0,8.0,1,1,False
high/IMG_2862_jpg,4.0,2.0,7.0,1,1,False
high/IMG_2773_jpg,11.0,7.0,14.0,1,1,False
high/IMG_8609_jpg,19.0,17.0,22.0,1,1,False
high/IMG_7314_jpg,12.0,12.0,16.0,1,1,False
high/IMG_6545-_jpg,9.0,4.0,12.0,1,1,False
high/IMG_7036_jpg,9.0,8.0,11.0,1,1,False
high/IMG_2736-_jpg,1.0,0.0,5.0,1,1,False
high/IMG_2947_jpg,6.0,1.0,7.0,1,1,False
high/IMG_2821_jpg,0.0,0.0,0.0,1,1,False
high/IMG_7278_jpg,12.0,9.0,16.0,1,1,False
high/IMG_3785-_jpg,3.0,0.0,6.0,1,1,False
high/IMG_7352_jpg,12.0,8.0,16.0,1,1,False
high/IMG_6748_jpg,9.0,6.0,11.0,1,1,False
high/IMG_3160_jpg,9.0,6.0,11.0,1,1,False
high/IMG_6726_jpg,4.0,0.0,8.0,1,1,False
high/IMG_7291_jpg,16.0,12.0,19.0,1,1,False
high/gummy15_JPG,10.0,7.0,12.0,1,1,False
high/IMG_2910_jpg,3.0,0.0,5.0,1,1,False
high/IMG_2711-_jpg,1.0,0.0,4.0,1,1,False
high/IMG_2456_jpeg,0.0,0.0,3.0,1,1,False
high/IMG_6399-_jpg,8.0,4.0,10.0,1,1,False
high/IMG_6764_jpg,9.5,9.0,12.0,1,1,False
high/IMG_8554_jpg,24.0,19.0,26.0,1,1,False
high/IMG_7285_jpg,9.0,5.0,14.0,1,1,False
