uid,split,qc_flags,n_components,n_gingiva_instances
high/IMG_7307_jpg,holdout,zenith_detection_failed,1,1
high/IMG_6921_jpg,dev,,1,1
high/IMG_2843_jpg,holdout,,1,1
high/IMG_8575_jpg,holdout,,1,1
high/IMG_6842_jpg,dev,,1,1
high/IMG_7304_jpg,dev,,1,1
high/IMG_6573-_jpg,holdout,,1,1
high/IMG_2695_jpg,dev,,1,1
high/IMG_8568_jpg,dev,,1,1
high/IMG_6460-_jpg,dev,frame_uncertain,1,1
high/IMG_6706_jpg,holdout,zenith_detection_failed,1,1
high/IMG_3079_jpg,dev,,1,1
high/IMG_2665_jpg,holdout,gingiva_multi_component,2,1
high/IMG_6758_jpg,dev,frame_uncertain,1,1
high/IMG_2574_jpeg,dev,,1,1
high/IMG_6768_jpg,holdout,frame_uncertain,1,1
high/IMG_3068_jpg,holdout,,1,1
high/IMG_6849-_jpg,dev,,1,1
high/IMG_3110_jpg,holdout,zenith_detection_failed,1,1
high/IMG_8584_jpg,dev,,1,1
high/111 (1)_jpg,dev,,1,1
high/IMG_2848_jpg,holdout,,1,1
high/IMG_3098_jpg,holdout,,1,1
high/IMG_6855-_jpg,dev,zenith_detection_failed,1,1
high/IMG_3105_jpg,holdout,"gingiva_multi_component,zenith_detection_failed",2,1
high/IMG_6591-_jpg,holdout,gingiva_multi_component,2,1
high/IMG_6933_jpg,holdout,lip_gingiva_boundary_mismatch,1,1
high/IMG_6519-_jpg,dev,zenith_detection_failed,1,1
high/IMG_6745_jpg,dev,,1,1
high/IMG_3811-_jpg,holdout,,1,1
high/IMG_6918_jpg,dev,,1,1
high/IMG_8648_jpg,holdout,,1,1
high/IMG_6847_jpg,holdout,"zenith_detection_failed,frame_uncertain",1,1
high/IMG_2718-_jpg,holdout,zenith_detection_failed,1,1
high/IMG_6474-_jpg,holdout,zenith_detection_failed,1,1
high/IMG_6857-_jpg,holdout,,1,1
high/IMG_6724_jpg,dev,,1,1
high/IMG_7382_jpg,holdout,,1,1
high/IMG_6586-_jpg,dev,,1,1
high/IMG_3853-_jpg,dev,zenith_detection_failed,1,1
high/IMG_7311_jpg,dev,,1,1
high/IMG_7347_jpg,holdout,,1,1
high/IMG_8645_jpg,dev,,1,1
high/IMG_2648_jpg,dev,,1,1
high/IMG_7337_jpg,dev,,1,1
high/IMG_2855_jpg,dev,,1,1
high/IMG_8630_jpg,dev,zenith_detection_failed,1,1
high/IMG_2686_jpg,holdout,,1,1
high/IMG_8564_jpg,dev,frame_uncertain,1,1
high/IMG_8594_jpg,dev,frame_uncertain,1,1
high/gg_jpg,holdout,frame_uncertain,1,1
high/IMG_3129_jpg,dev,,1,1
high/IMG_8601_jpg,dev,,1,1
high/IMG_3059_jpg,holdout,zenith_detection_failed,1,1
high/IMG_2632-_jpg,holdout,frame_uncertain,1,1
high/IMG_8649_jpg,dev,,1,1
high/IMG_6551-_jpg,holdout,,1,1
high/IMG_2892_jpg,dev,zenith_detection_failed,1,1
