scale,subset,class,n_reference,n_predicted,tp,fn,fp,tn,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ppv,ppv_ci_low,ppv_ci_high
global,"all 145 images, OOF (primary)",E1,93,104,87,6,17,23,0.9354838709677419,0.8663200576778366,0.9700985685562665,0.575,0.42195068426904103,0.7149060753621894,0.8365384615384616,0.7537363716970776,0.8953646394182383
global,"all 145 images, OOF (primary)",E2,33,25,16,17,9,91,0.48484848484848486,0.3250404199632815,0.6478162466735632,0.91,0.8377378707781101,0.9519274602313131,0.64,0.44518497600865714,0.7975211932184335
global,"all 145 images, OOF (primary)",E3,7,4,3,4,1,125,0.42857142857142855,0.15821985399244537,0.7495416372469643,0.9920634920634921,0.9564131995536055,0.9985976349546818,0.75,0.3006418400969081,0.954412739704631
global,"all 145 images, OOF (primary)",E4,0,0,0,0,0,133,,,,1.0,0.9719276678814986,1.0,,,
global,fixed test subset (secondary),E1,23,22,20,3,2,2,0.8695652173913043,0.6787251755146014,0.9546234094181704,0.5,0.15003898774401986,0.8499610122559802,0.9090909090909091,0.721850529721749,0.9747045712376774
global,fixed test subset (secondary),E2,3,4,1,2,3,21,0.3333333333333333,0.06149194402093078,0.7923404011921757,0.875,0.6899611855484453,0.9565566595380588,0.25,0.04558726029536886,0.6993581599030918
global,fixed test subset (secondary),E3,1,1,1,0,0,26,1.0,0.2065493117918027,1.0,1.0,0.871271076371412,1.0,1.0,0.2065493117918027,1.0
global,fixed test subset (secondary),E4,0,0,0,0,0,27,,,,1.0,0.8754449685379289,1.0,,,
expert,"all 145 images, OOF (primary)",E1,93,107,88,5,19,21,0.946236559139785,0.8802516120993195,0.9768193258936505,0.525,0.3749736199712279,0.670645299905849,0.822429906542056,0.7392402596231238,0.8832704930898525
expert,"all 145 images, OOF (primary)",E2,33,21,12,21,9,91,0.36363636363636365,0.22187178144210248,0.5338382182894987,0.91,0.8377378707781101,0.9519274602313131,0.5714285714285714,0.36546554224185784,0.7553003119028359
expert,"all 145 images, OOF (primary)",E3,7,4,2,5,2,124,0.2857142857142857,0.08221892324928332,0.6410655504689458,0.9841269841269841,0.9439712357372746,0.9956361982144274,0.5,0.15003898774401986,0.8499610122559802
expert,"all 145 images, OOF (primary)",E4,0,1,0,0,1,132,,,,0.9924812030075187,0.9586407018220968,0.9986715124070484,0.0,0.0,0.7934506882081973
expert,fixed test subset (secondary),E1,23,23,21,2,2,2,0.9130434782608695,0.7320401874258483,0.9758199957343082,0.5,0.15003898774401986,0.8499610122559802,0.9130434782608695,0.7320401874258483,0.9758199957343082
expert,fixed test subset (secondary),E2,3,4,1,2,3,21,0.3333333333333333,0.06149194402093078,0.7923404011921757,0.875,0.6899611855484453,0.9565566595380588,0.25,0.04558726029536886,0.6993581599030918
expert,fixed test subset (secondary),E3,1,0,0,1,0,26,0.0,0.0,0.7934506882081973,1.0,0.871271076371412,1.0,,,
expert,fixed test subset (secondary),E4,0,0,0,0,0,27,,,,1.0,0.8754449685379289,1.0,,,
