selected,combo,regioning,estimator,lip_anchored,px_per_mm (dev fit),"MAE dev, mm","MAE holdout, mm","ICC(2,1) dev","ICC(2,1) holdout","BA bias dev, mm","BA bias holdout, mm"
**yes**,C_p25,C,p25,False,16.839653402722718,0.5574748844949574,0.5181298868382679,0.8733063830241952,0.8584131325066706,0.1730876966806722,0.1163760752232235
,C_p10,C,p10,False,16.04014185106817,0.5781540561442131,0.5333690773968488,0.8686274959204159,0.850841309852977,0.1542451458056107,0.0419712906872243
,C_median,C,median,False,17.992512750390958,0.5929018223892233,0.5595285685029789,0.8532962515036749,0.818758682941386,0.2139798244259904,0.213144194844718
,C_p05,C,p05,False,15.704417972414632,0.5985643900336016,0.5605007817376072,0.8618031829523658,0.8346260126518145,0.1518770658992098,0.0080054185897546
,C_p25_lipanchored,C,p25,True,19.015010736124648,0.604622195047646,0.507925374131208,0.8532935949188301,0.8543230469667952,0.2198690673926546,0.2634579351630207
,C_p10_lipanchored,C,p10,True,18.1831074949285,0.6079823571394177,0.5228859968323764,0.8514804292312406,0.8520926957100057,0.2075710639700333,0.2169694484320334
,C_p05_lipanchored,C,p05,True,17.85663471719,0.6203867859454459,0.5460766378790435,0.8468205370456285,0.8427678290768162,0.2059679784698995,0.1939325279613237
,B_min,B,min,False,10.73217666819626,0.6236704674036878,0.6867619079110872,0.863860760284009,0.8078244996541071,0.1041274521259437,0.0923403701246909
,B_p10,B,p10,False,14.216744820461209,0.6237421281807399,0.5885120505272965,0.85595806354948,0.8395644314278478,0.187646953757339,0.1320673128261406
,A_p25,A,p25,False,17.035765060458942,0.6269811323559422,0.5370693544055085,0.8503306277307818,0.8431199485735584,0.2248030818257261,0.186984659817295
,B_p05,B,p05,False,12.998780875121469,0.6286713217470485,0.6341359517910573,0.8584167024867005,0.8273390873978085,0.1635151504209478,0.1078782484386018
,A_p10,A,p10,False,14.64166815127369,0.6302461978027736,0.5623726493397275,0.8548418428357574,0.8418180904222756,0.1915301455076568,0.0913117293529746
,A_p05,A,p05,False,13.392871061581165,0.6371001181736938,0.6068089357207189,0.8525406545633849,0.8270366548750561,0.1746531440304654,0.0374765664681545
,B_p25,B,p25,False,16.66149844822931,0.6438799791226671,0.5418791076408742,0.8463608907341404,0.8510680361099169,0.2304003389908305,0.198687355813963
,C_min,C,min,False,15.159919442213775,0.6458603431090741,0.6527737584883111,0.842073806978466,0.8028904365085742,0.1455365447279454,-0.0281653733120399
,B_min_lipanchored,B,min,True,13.476250644172822,0.64614625531349,0.6368290231193255,0.8326348044599348,0.8196116169244516,0.1872997975088019,0.2732346103171792
,C_median_lipanchored,C,median,True,20.210043384766923,0.6506245742784937,0.5726330563122711,0.8328162857987679,0.8154336315070891,0.2509933317790103,0.3319732064842204
,C_min_lipanchored,C,min,True,17.371913039026126,0.6533070479979391,0.6018391758087124,0.8332353365203298,0.8227129905537656,0.2027654465713293,0.170045743672128
,B_p05_lipanchored,B,p05,True,15.314517420674044,0.6533265106267241,0.5765604615729604,0.8301094127233386,0.8346878146935841,0.2202958358199159,0.2862986382731629
,B_p10_lipanchored,B,p10,True,16.44596066550584,0.6579862433366521,0.5658286036035147,0.8295070669505713,0.8393170556875282,0.2378089619514154,0.3078663942820397
,A_min,A,min,False,10.897657568908835,0.6626445031077777,0.7573335795657388,0.8489968342588179,0.771251868551837,0.1093942778267211,-0.0399820126556018
,A_p10_lipanchored,A,p10,True,16.846150165018656,0.6648690645412867,0.5482781634969467,0.830989344692117,0.8445860728665122,0.2408846641609957,0.2616027629621504
,A_p05_lipanchored,A,p05,True,15.633552187677378,0.6718366100558615,0.589677773483003,0.829929402975208,0.8371939136484113,0.2302059281391144,0.2333772502768896
,A_p25_lipanchored,A,p25,True,19.25187130034897,0.673508800643823,0.5338086295714106,0.8247681190771643,0.8412145421140736,0.2659009058822957,0.3197374325486168
