model,seed,n,mae_mm,bias_mm,rmse_mm
rfdetr-seg-large,42,29,0.6713896216378115,0.28416251490815453,0.9410518137576124
rfdetr-seg-large,43,29,0.6512453416219022,0.25498270111427307,0.9260268788411544
rfdetr-seg-large,44,29,0.670693752837353,0.27870196495842237,0.9606901505021513
rfdetr-seg-large@432,42,29,0.6445902963706659,0.2734120571946193,0.9208836012940176
rfdetr-seg-large@432,43,29,0.7051707344692231,0.321618474719599,0.9807393922468202
rfdetr-seg-large@432,44,29,0.6723916726203726,0.3015680178729261,0.9429305802401413
yolo11x-seg,42,29,0.8571121356012908,0.5710973505479902,1.0363398961793806
yolo11x-seg,43,29,1.0255381384944264,0.7310743998565512,1.1797960906562937
yolo11x-seg,44,29,0.9889353896126278,0.7018092649697052,1.1319396688428167
yolo11x-seg@1024,42,29,0.9624005297006476,0.6669129379471975,1.1151308966424178
yolo11x-seg@1024,43,29,0.8214479187421023,0.5132496495180143,1.018222274613544
yolo11x-seg@1024,44,29,0.9348396512920105,0.6587221130225994,1.1025448891095402
yolo26x-seg,42,29,0.9832188763840018,0.6998468798315202,1.1145530537830428
yolo26x-seg,43,29,1.0092418097381946,0.7100000898943033,1.1484770213605457
yolo26x-seg,44,29,1.0119720847130607,0.7350844912258859,1.138167520930302
