model,seed,n,gingiva_top_edge_mae_mm,gingiva_top_edge_bias_mm,gingiva_bottom_edge_mae_mm,gingiva_bottom_edge_bias_mm
rfdetr-seg-large,42,29,0.25509513446442683,0.021103883071769216,0.48231003498590036,0.0361171232777477
rfdetr-seg-large,43,29,0.25855571060856347,0.02731957110934826,0.4729520855644176,0.03929309314531044
rfdetr-seg-large,44,29,0.2505295684260693,-0.009624702305689082,0.474494090169038,0.056037985937648895
rfdetr-seg-large@432,42,29,0.24770201329620156,0.009928822814508227,0.475214356228792,0.09500553149922653
rfdetr-seg-large@432,43,29,0.24943604388638313,-0.010220421813935432,0.46605918854040335,0.08291172990153192
rfdetr-seg-large@432,44,29,0.23838353805667853,0.011203435128269504,0.4700190996139152,0.07090141764069144
yolo11x-seg,42,29,0.27677520259083493,0.09745421536267818,0.7279214583867257,0.6191846497771035
yolo11x-seg,43,29,0.3145789017064708,0.1330290218976552,0.7760360786228436,0.6933599631660375
yolo11x-seg,44,29,0.2729894973717348,0.1231405304926024,0.7288346621182263,0.6172553144194476
yolo11x-seg@1024,42,29,0.2887556387366834,-0.0036255964889844268,0.6596363394833593,0.5196138316322659
yolo11x-seg@1024,43,29,0.28099342595228155,0.09007223126158505,0.6640483181005772,0.5359421974352476
yolo11x-seg@1024,44,29,0.2651349458228962,0.046444151954553606,0.6828690211370525,0.5679338242224551
yolo26x-seg,42,29,0.2553410733585898,0.09299448627593254,0.7256626282419121,0.6245930724052225
yolo26x-seg,43,29,0.2601160189649677,0.11879049357306826,0.720522677646043,0.6184774976989238
yolo26x-seg,44,29,0.2640137944451003,0.03533239750971317,0.747642478666464,0.6567370481454898
