uid,image,group,gingiva_mask_iou,gingiva_boundary_iou,gingiva_n_columns_gt,gingiva_n_columns_pred,gingiva_n_columns_both,gingiva_columns_missed_frac,gingiva_columns_spurious_frac,gingiva_top_edge_mae_px,gingiva_top_edge_median_px,gingiva_top_edge_bias_px,gingiva_bottom_edge_mae_px,gingiva_bottom_edge_median_px,gingiva_bottom_edge_bias_px,gingiva_thickness_mae_px,lip_mask_iou,lip_boundary_iou
high/IMG_2632-_jpg,IMG_2632-_jpg,high,0.8681241098925176,0.38231667938707214,989,950,950,0.03943377148634985,0.0,5.191578947368421,5.0,5.145263157894737,5.551578947368421,4.0,-1.6694736842105262,7.4,0.8956810631229236,0.39273984872611467
high/IMG_2648_jpg,IMG_2648_jpg,high,0.903957528957529,0.4211655678566986,935,924,924,0.011764705882352941,0.0,4.784632034632034,5.0,3.7261904761904763,5.3603896103896105,4.0,-1.0876623376623376,8.363636363636363,0.8428649840630928,0.3611995271007639
high/IMG_2675_jpg,IMG_2675_jpg,high,0.7370476504450587,0.37302220449408324,868,795,795,0.08410138248847926,0.0,2.959748427672956,3.0,-0.3333333333333333,8.638993710691825,7.0,-2.4578616352201257,9.538364779874215,0.7927126411087515,0.22956585010914382
high/IMG_2711-_jpg,IMG_2711-_jpg,high,0.7914021637887798,0.2606940412000553,965,926,925,0.04145077720207254,0.0010799136069114472,7.454054054054054,8.0,7.112432432432432,7.39027027027027,5.0,-1.5956756756756756,9.823783783783783,0.7939748144722182,0.26406836181742394
high/IMG_2736-_jpg,IMG_2736-_jpg,high,0.767480116508957,0.274612729295638,876,874,856,0.0228310502283105,0.020594965675057208,9.741822429906541,8.0,9.085280373831775,7.338785046728972,6.0,-3.294392523364486,14.26051401869159,0.8550989786248289,0.4533765419192975
high/IMG_2761-_jpg,IMG_2761-_jpg,high,0.840964012093497,0.31392329204954056,971,964,962,0.009268795056642637,0.002074688796680498,5.757796257796258,6.0,4.666320166320166,9.414760914760915,8.0,4.115384615384615,9.79002079002079,0.8283539382488395,0.2916577717687801
high/IMG_2821_jpg,IMG_2821_jpg,high,0.8633434343434343,0.29596781567157354,911,897,897,0.015367727771679473,0.0,5.5429208472686735,5.0,5.2441471571906355,9.355629877369008,6.0,1.5496098104793756,11.003344481605351,0.8022577127830158,0.35508955467856057
high/IMG_2843_jpg,IMG_2843_jpg,high,0.8938371433203631,0.3982240233618403,959,956,956,0.0031282586027111575,0.0,5.2301255230125525,5.0,1.9205020920502092,5.714435146443515,4.0,1.7960251046025104,6.042887029288703,0.84836558296106,0.4251244234828152
high/IMG_3117_jpg,IMG_3117_jpg,high,0.821929053908084,0.42874070339089876,1079,1032,999,0.07414272474513438,0.03197674418604651,2.4094094094094096,2.0,1.078078078078078,8.774774774774775,7.0,-1.7497497497497498,9.08008008008008,0.7957859581573937,0.2920707104482935
high/IMG_3570_jpg,IMG_3570_jpg,high,0.0,0.03629380109271659,1263,944,944,0.25257323832145684,0.0,48.717161016949156,49.0,48.717161016949156,77.31461864406779,74.0,77.31461864406779,30.777542372881356,0.0018707000496489112,0.09018306391178675
