set,masks,masks_dir,model,correction,n,n_segmentation_failure,images_with_zeroed_columns,zeroed_columns_frac_mean,mae,rmse,median_abs_err,r,icc2_1,icc2_1_ci_low,icc2_1_ci_high,ba_bias,ba_bias_ci_low,ba_bias_ci_high,ba_loa_low,ba_loa_high,ba_prop_slope,ba_prop_p,threshold_agreement,threshold_kappa_linear,threshold_kappa_linear_ci_low,threshold_kappa_linear_ci_high,within_0_5_mm,within_1_mm
"(a) OOF masks, all reference images [PRIMARY]",OOF fold models (oof_rfdetr),outputs/05_predictions/oof_rfdetr,"RF-DETR-Seg Large @624, seed 42, 5 fold models",none,145,0,0.0,0.0,0.5209658056949302,0.7306097449854275,0.3993436492336566,0.892261309490704,0.876595386388562,0.8044459517756066,0.9189678072612515,0.27039034551561536,0.15859297590116267,0.38218771513006805,-1.0645392007385108,1.6053198917697415,-0.05630157463273698,0.16016597848734876,0.7586206896551724,0.7178988326848249,0.6309587292000234,0.7969403787848544,0.6137931034482759,0.8689655172413793
"(a) OOF, Stage-3 holdout images only (scale never fitted on these)",OOF fold models (oof_rfdetr),outputs/05_predictions/oof_rfdetr,"RF-DETR-Seg Large @624, seed 42, 5 fold models",none,58,0,0.0,0.0,0.47927660700742813,0.6757188991588261,0.3575973404118443,0.896316877368107,0.8760217646225068,0.7564031779292151,0.9328322519933971,0.2943478410077608,0.1330226161947496,0.455673065820772,-0.9082137079800713,1.4969093899955928,0.0447401916132841,0.47680856822317863,0.7758620689655172,0.7332457293035479,0.606830417522325,0.8471694816453871,0.6379310344827587,0.8793103448275862
"(a) OOF, Stage-3 dev images only",OOF fold models (oof_rfdetr),outputs/05_predictions/oof_rfdetr,"RF-DETR-Seg Large @624, seed 42, 5 fold models",none,87,0,0.0,0.0,0.5487586048199319,0.7650187222060921,0.4388876711976266,0.8933094232488181,0.8778561194397528,0.8042751392102058,0.9225884533824648,0.25441868185418515,0.09976029161271663,0.4090770720956537,-1.1678681086194804,1.6767054723278507,-0.10697185693038924,0.04026255365140365,0.7471264367816092,0.7080536912751678,0.5844457631435888,0.8060254672218456,0.5977011494252874,0.8620689655172413
"(a) OOF, main-split train",OOF fold models (oof_rfdetr),outputs/05_predictions/oof_rfdetr,"RF-DETR-Seg Large @624, seed 42, 5 fold models",none,87,0,0.0,0.0,0.46832450510296353,0.6113506292211422,0.3993436492336566,0.92763978979173,0.9123263356463736,0.8352567589119096,0.9495273697727314,0.2592364551001615,0.14055014042607944,0.3779227697742436,-0.8322399097280935,1.3507128199284166,-0.05877894120813993,0.16525098977448288,0.8160919540229885,0.7889253603539318,0.6758899084956648,0.8763090019879776,0.632183908045977,0.896551724137931
"(a) OOF, main-split valid",OOF fold models (oof_rfdetr),outputs/05_predictions/oof_rfdetr,"RF-DETR-Seg Large @624, seed 42, 5 fold models",none,29,0,0.0,0.0,0.5886172620679688,0.8363785299159577,0.35915141995799615,0.8735375381891224,0.8535516539446706,0.6818393915386859,0.9320139724427886,0.3594458959496301,0.06709832101493307,0.6517934708843272,-1.1469470891846507,1.8658388810839108,-0.014874634343450936,0.8828525733552043,0.6551724137931034,0.6047087980173482,0.39267015706806285,0.7873119411775202,0.6206896551724138,0.7931034482758621
(b') OOF masks on the test high images (fold models),OOF fold models (oof_rfdetr),outputs/05_predictions/oof_rfdetr,"RF-DETR-Seg Large @624, seed 42, 5 fold models",none,29,0,0.0,0.0,0.6112382510977921,0.9209642645003763,0.4575309684851867,0.8092733974020497,0.803215581651531,0.6259232643335516,0.9020762411146102,0.21479646632796237,-0.13188820904469797,0.5614811417006227,-1.5715818306412759,2.001174763297201,-0.09176328257335745,0.4682623161450421,0.6896551724137931,0.6214099216710183,0.4214102244389027,0.7883365739117499,0.5517241379310345,0.8620689655172413
(a) sensitivity: without dash-zero reference rows,OOF fold models (oof_rfdetr),outputs/05_predictions/oof_rfdetr,"RF-DETR-Seg Large @624, seed 42, 5 fold models",none,112,0,0.0,0.0,0.5080502451760112,0.716917054839001,0.40070943168029527,0.8793537468036063,0.8687858848244836,0.8024058997440716,0.9119401078239486,0.22127459918271355,0.09301872914729348,0.34953046921813363,-1.1212851602279832,1.5638343585934105,-0.03668998072885529,0.4491044022953268,0.7321428571428571,0.7166350411132194,0.6244928691769713,0.8027582321307337,0.625,0.8839285714285714
(a) sensitivity: only 2698x1799 (±2 px) frames,OOF fold models (oof_rfdetr),outputs/05_predictions/oof_rfdetr,"RF-DETR-Seg Large @624, seed 42, 5 fold models",none,123,0,0.0,0.0,0.5153542688668037,0.710364648567213,0.4042868667494064,0.9041146695097771,0.8908546102311802,0.8236218225229094,0.9297512532538499,0.26132537280072105,0.1429385026865344,0.3797122429149077,-1.0386488702617036,1.5612996158631456,-0.038699637952234196,0.34459111142056353,0.7642276422764228,0.7279343560470924,0.6360848165415456,0.8083134454642495,0.6097560975609756,0.8699186991869918
(a) sensitivity: without zenith-fallback images,OOF fold models (oof_rfdetr),outputs/05_predictions/oof_rfdetr,"RF-DETR-Seg Large @624, seed 42, 5 fold models",none,118,0,0.0,0.0,0.5057248731885899,0.7284013108525114,0.39390290058611543,0.8818136049096974,0.866734376324023,0.7896088307205932,0.9131351258120184,0.2600728024614552,0.13549852623179778,0.3846470786911126,-1.0791785446445497,1.59932414956746,-0.0503824639995152,0.28092891241758905,0.7627118644067796,0.7215667767815007,0.6223027056290467,0.8041342051368787,0.6271186440677966,0.8898305084745762
(a) sensitivity: without empty predictions,OOF fold models (oof_rfdetr),outputs/05_predictions/oof_rfdetr,"RF-DETR-Seg Large @624, seed 42, 5 fold models",none,145,0,0.0,0.0,0.5209658056949302,0.7306097449854275,0.3993436492336566,0.892261309490704,0.876595386388562,0.8044459517756066,0.9189678072612515,0.27039034551561536,0.15859297590116267,0.38218771513006805,-1.0645392007385108,1.6053198917697415,-0.05630157463273698,0.16016597848734876,0.7586206896551724,0.7178988326848249,0.6309587292000234,0.7969403787848544,0.6137931034482759,0.8689655172413793
