subset,variant,key,n,n_segmentation_failure,mae,rmse,median_abs_err,r,r_p,icc2_1,icc2_1_ci_low,icc2_1_ci_high,icc3_1,ba_bias,ba_bias_ci_low,ba_bias_ci_high,ba_sd,ba_loa_low,ba_loa_high,ba_prop_slope,ba_prop_p,threshold_agreement,threshold_kappa_linear,threshold_kappa_linear_ci_low,threshold_kappa_linear_ci_high,within_0_5_mm,within_1_mm
dev,uncorrected (PRIMARY),none,87,0,0.5487586048199319,0.7650187222060921,0.4388876711976266,0.8933094232488181,2.8904943309683852e-31,0.8778561194397528,0.8042751392102065,0.9225884533824645,0.888739515686555,0.2544186818541852,0.09976029161271668,0.4090770720956537,0.7256565257518702,-1.1678681086194804,1.6767054723278507,-0.10697185693038924,0.04026255365140365,0.7471264367816092,0.7080536912751678,0.5844457631435888,0.8060254672218456,0.5977011494252874,0.8620689655172413
dev,"(a) value level, constant 0.254 mm",value_mm,87,0,0.4618740893408093,0.7214740325537856,0.30554886210443577,0.8933094232488181,2.8904943309683852e-31,0.8898775410451336,0.8361994049110529,0.9266588381061173,0.888739515686555,-2.2970131543968756e-17,-0.15465839024146855,0.1546583902414685,0.7256565257518702,-1.4222867904736656,1.4222867904736656,-0.10697185693038923,0.04026255365140365,0.7931034482758621,0.7318361955085865,0.5894039495818314,0.8406862453303999,0.6781609195402298,0.8850574712643678
dev,"value level, constant +0 px (+0.000 mm at the global scale)",value_px,87,0,0.5487586048199318,0.7650187222060921,0.4388876711976275,0.8933094232488181,2.8904943309683852e-31,0.8778561194397528,0.8042751392102058,0.9225884533824648,0.888739515686555,0.2544186818541851,0.09976029161271657,0.4090770720956536,0.7256565257518702,-1.1678681086194804,1.6767054723278507,-0.10697185693038923,0.04026255365140365,0.7471264367816092,0.7080536912751678,0.5844457631435888,0.8060254672218456,0.5977011494252874,0.8620689655172413
dev,"**(b) mask level, lower edge +0 px — ADOPTED**",mask_level,87,0,0.5487586048199319,0.7650187222060921,0.4388876711976266,0.8933094232488181,2.8904943309683852e-31,0.8778561194397528,0.8042751392102058,0.9225884533824648,0.888739515686555,0.25441868185418515,0.09976029161271663,0.4090770720956537,0.7256565257518702,-1.1678681086194804,1.6767054723278507,-0.10697185693038924,0.04026255365140365,0.7471264367816092,0.7080536912751678,0.5844457631435888,0.8060254672218456,0.5977011494252874,0.8620689655172413
dev,"(c) value level, linear recalibration",regression,87,0,0.46289045591906824,0.7212849356421337,0.29901143383302076,0.8933094232488181,2.8904943309683852e-31,0.8888017544910131,0.8346445532761252,0.9259284583144649,0.8876540153151753,-1.156163287713094e-15,-0.1546178545844174,0.15461785458441507,0.7254663326170542,-1.4219140119294273,1.4219140119294251,-0.11903239022969705,0.022779533113986228,0.7931034482758621,0.7318361955085865,0.5894039495818314,0.8406862453303999,0.6666666666666666,0.896551724137931
holdout,uncorrected (PRIMARY),none,58,0,0.47927660700742813,0.6757188991588261,0.35759734041184454,0.896316877368107,1.963192293337255e-21,0.8760217646225068,0.7564031779292151,0.9328322519933971,0.8955107287628418,0.2943478410077608,0.1330226161947496,0.455673065820772,0.6135518107080776,-0.9082137079800713,1.4969093899955928,0.0447401916132841,0.47680856822317863,0.7758620689655172,0.7332457293035479,0.606830417522325,0.8471694816453871,0.6379310344827587,0.8793103448275862
holdout,"(a) value level, constant 0.254 mm",value_mm,58,0,0.4162060651792676,0.6095487814155625,0.31164472210430816,0.8963168773681068,1.9631922933373666e-21,0.8967293859730637,0.8316320583599279,0.9375342055695842,0.895510728762842,0.03992915915357562,-0.12139606565943559,0.20125438396658682,0.6135518107080776,-1.1626323898342565,1.2424907081414076,0.04474019161328423,0.4768085682231772,0.8103448275862069,0.7810569663692519,0.6627797918108247,0.8838567114308439,0.7413793103448276,0.9137931034482759
holdout,"value level, constant +0 px (+0.000 mm at the global scale)",value_px,58,0,0.479276607007428,0.675718899158826,0.3575973404118443,0.896316877368107,1.963192293337255e-21,0.8760217646225068,0.7564031779292151,0.9328322519933971,0.8955107287628418,0.2943478410077607,0.13302261619474948,0.4556730658207719,0.6135518107080776,-0.9082137079800714,1.4969093899955928,0.04474019161328411,0.4768085682231785,0.7758620689655172,0.7332457293035479,0.606830417522325,0.8471694816453871,0.6379310344827587,0.8793103448275862
holdout,"**(b) mask level, lower edge +0 px — ADOPTED**",mask_level,58,0,0.47927660700742813,0.6757188991588261,0.3575973404118443,0.896316877368107,1.963192293337255e-21,0.8760217646225068,0.7564031779292151,0.9328322519933971,0.8955107287628418,0.2943478410077608,0.1330226161947496,0.455673065820772,0.6135518107080776,-0.9082137079800713,1.4969093899955928,0.0447401916132841,0.47680856822317863,0.7758620689655172,0.7332457293035479,0.606830417522325,0.8471694816453871,0.6379310344827587,0.8793103448275862
holdout,"(c) value level, linear recalibration",regression,58,0,0.41171018894952793,0.6049104887139958,0.3121289349030787,0.896316877368107,1.963192293337255e-21,0.8970827398311692,0.8321976579722974,0.9377503955341655,0.8958871273295771,0.04056813032771672,-0.11951289627224895,0.2006491569276824,0.6088198782568528,-1.1527188310557146,1.2338550917111482,0.032663117077344775,0.6031780475759219,0.8103448275862069,0.7810569663692519,0.6627797918108247,0.8838567114308439,0.7413793103448276,0.9137931034482759
"test high, final model",uncorrected (PRIMARY),none,29,0,0.6713896216378115,0.9410518137576124,0.5630159731665847,0.8038453045642387,1.5064995521974574e-07,0.7865281699681625,0.5944270070299793,0.8937312292986683,0.796513134613559,0.28416251490815453,-0.06312517765941134,0.6314502074757204,0.9130028019365035,-1.5053229768873924,2.0736480067037015,-0.1500209852062173,0.2451807913538918,0.6896551724137931,0.6214099216710183,0.4214102244389027,0.7883365739117499,0.3793103448275862,0.896551724137931
"test high, final model","(a) value level, constant 0.254 mm",value_mm,29,0,0.5370387378415648,0.8976162191617904,0.31617914748164955,0.8038453045642385,1.5064995521974574e-07,0.801967170703884,0.619483274950733,0.90203427786279,0.796513134613559,0.029743833053969305,-0.31754385951359654,0.3770315256215352,0.9130028019365036,-1.759741658741578,1.8192293248495164,-0.1500209852062173,0.2451807913538918,0.7241379310344828,0.6091644204851752,0.352804682205457,0.8210368335368332,0.6206896551724138,0.8620689655172413
"test high, final model","value level, constant +0 px (+0.000 mm at the global scale)",value_px,29,0,0.6713896216378112,0.9410518137576122,0.5630159731665842,0.8038453045642386,1.5064995521974574e-07,0.7865281699681624,0.5944270070299789,0.8937312292986686,0.7965131346135589,0.28416251490815436,-0.0631251776594115,0.6314502074757202,0.9130028019365036,-1.5053229768873928,2.0736480067037015,-0.15002098520621734,0.24518079135389173,0.6896551724137931,0.6214099216710183,0.4214102244389027,0.7883365739117499,0.3793103448275862,0.896551724137931
"test high, final model","**(b) mask level, lower edge +0 px — ADOPTED**",mask_level,29,0,0.6713896216378114,0.9410518137576123,0.5630159731665847,0.8038453045642387,1.5064995521974574e-07,0.7865281699681625,0.5944270070299793,0.8937312292986683,0.796513134613559,0.2841625149081545,-0.06312517765941139,0.6314502074757203,0.9130028019365035,-1.5053229768873924,2.0736480067037015,-0.1500209852062173,0.2451807913538918,0.6896551724137931,0.6214099216710183,0.4214102244389027,0.7883365739117499,0.3793103448275862,0.896551724137931
"test high, final model","(c) value level, linear recalibration",regression,29,0,0.5369399138744714,0.8959727640293901,0.31564395288457403,0.8038453045642387,1.5064995521974574e-07,0.8007270322992535,0.6173174786770823,0.9013900897531645,0.795233316198709,0.028483383452656413,-0.3181836200716971,0.37515038697701,0.9113710400062305,-1.7578038549595554,1.814770621864868,-0.1626384559988265,0.20831050397287623,0.7241379310344828,0.6091644204851752,0.352804682205457,0.8210368335368332,0.6551724137931034,0.8620689655172413
