regioning,estimator,anchored,combo,px_per_mm_dev,scale_r2_dev,scale_resid_sd_mm,loo_px_per_mm_sd,loo_mae_dev,n_dev,mae_dev,rmse_dev,r_dev,r_p_dev,icc2_1_dev,icc2_1_ci_low_dev,icc2_1_ci_high_dev,icc3_1_dev,ba_bias_dev,ba_bias_ci_low_dev,ba_bias_ci_high_dev,ba_sd_dev,ba_loa_low_dev,ba_loa_high_dev,ba_prop_slope_dev,ba_prop_p_dev,threshold_agreement_dev,threshold_kappa_linear_dev,n_holdout,mae_holdout,rmse_holdout,r_holdout,r_p_holdout,icc2_1_holdout,icc2_1_ci_low_holdout,icc2_1_ci_high_holdout,icc3_1_holdout,ba_bias_holdout,ba_bias_ci_low_holdout,ba_bias_ci_high_holdout,ba_sd_holdout,ba_loa_low_holdout,ba_loa_high_holdout,ba_prop_slope_holdout,ba_prop_p_holdout,threshold_agreement_holdout,threshold_kappa_linear_holdout
A,p05,False,A_p05,13.743732576983003,0.693041157399587,0.7817776116886707,0.058505478988361934,0.5846560756568363,87,0.5762330154085582,0.8000998598235275,0.8752326904564733,1.5186121392514504e-28,0.8650647213700361,0.7978436704059798,0.9105736385225415,0.8703821134033496,0.1897592309677622,0.023139814398313613,0.3563786475372108,0.7817776116886705,-1.342524887942032,1.7220433498775565,-0.11242089454176432,0.047056400389579256,0.7241379310344828,0.6740634005763689,58,0.5389621488378905,0.7199774471709923,0.8615163684315015,4.013358519547932e-18,0.8574157833110083,0.7703066804607118,0.9130964738410433,0.8605405229449944,0.14802306478110244,-0.03885928772788,0.3349054172900849,0.7107506337224934,-1.2450481773149844,1.5410943068771894,0.05114952504094606,0.48551952575415736,0.7586206896551724,0.7042828008157715
A,p05,True,A_p05_lipanchored,16.166503445251937,0.6761831691577532,0.7688253998348201,0.06828298725445296,0.5947333763333194,87,0.5862952903173881,0.79302877821175,0.8793491434232215,3.9874923677322795e-29,0.8635208495035763,0.7931072763040995,0.9102729550221306,0.8706634308125527,0.21117839438494024,0.04731946871482923,0.37503732005505125,0.7688253998348201,-1.2957193892913073,1.7180761780611875,-0.1498981616657859,0.007451496883679702,0.7241379310344828,0.6766723842195541,58,0.5185432220885795,0.6899403952262212,0.8719276371469526,5.199254975176921e-19,0.8662895982806981,0.7819103350924376,0.9191421043285778,0.8716567548373747,0.1724820960039374,-0.004702238274127274,0.34966643028200206,0.6738671478773235,-1.1482975138356166,1.4932617058434916,0.02663392388760386,0.7046040193908261,0.7758620689655172,0.7478260869565218
A,p10,False,A_p10,15.070695521173077,0.6948803858700701,0.7619299335036827,0.06332617069249445,0.5790704322517616,87,0.5706421273373117,0.782930071080675,0.8815827885857217,1.8907853510245695e-29,0.8687482643530455,0.8019614345692754,0.9134335449630875,0.8748252989771896,0.19777541374923785,0.03538611135803699,0.3601647161404387,0.7619299335036825,-1.2956072559179799,1.6911580834164555,-0.1318291630984968,0.01709970034422696,0.7586206896551724,0.7143468950749465,58,0.48894994359673233,0.6750379905073525,0.8762238498668334,2.122562574413501e-19,0.8708694669719034,0.7889848303761094,0.9220032823515155,0.8761050545616937,0.16905905876481755,-0.004277437515559646,0.34239555504519475,0.6592330571854996,-1.1230377333187618,1.4611558508483968,0.01755356060920673,0.7990950786042436,0.7758620689655172,0.7511551155115512
A,p10,True,A_p10_lipanchored,17.296600958771172,0.6770250066792306,0.754039475158345,0.07219125185795365,0.5897738883994093,87,0.5813675248667569,0.780479379642503,0.8846538174898412,6.611249468816334e-30,0.8662398209201313,0.7957285441398222,0.9124963807612172,0.8740266521426644,0.2170435045577952,0.056335887017003206,0.3777511220985872,0.754039475158345,-1.260873866752561,1.6949608758681514,-0.16492369864889983,0.00268146130781802,0.7471264367816092,0.7066591739252599,58,0.48780008660434976,0.6651212464726525,0.8802705539441289,8.849896794609859e-20,0.8724515000647853,0.7876526067125196,0.9238471318085992,0.8802648585369474,0.1946339533323869,0.025944099998632564,0.3633238066661412,0.6415609529196052,-1.0628255143900394,1.452093421054813,-0.0038263048103005775,0.95495786020914,0.8103448275862069,0.7880398671096346
A,p25,False,A_p25,17.432429467706196,0.6507202549640656,0.7619699922310842,0.07325245844843248,0.5854850770759351,87,0.5774153187340847,0.7929033984375922,0.8828105433241282,1.2466023169299036e-29,0.8594929938018021,0.7835976608381381,0.9086093407407174,0.8688323335057058,0.23403220615073597,0.07163436608630375,0.3964300462151682,0.7619699922310842,-1.2594289786221888,1.727493390923661,-0.18968837068745478,0.0006629087573808976,0.7586206896551724,0.7013729977116705,58,0.4532963123232,0.6397603923973245,0.8887912214105408,1.2594552541243685e-20,0.8793413937210771,0.7952482838254782,0.9287982299273884,0.8884532017041855,0.20309190566576793,0.042183300940360186,0.36400051039117565,0.6119673219251068,-0.9963640453074415,1.4025478566389773,-0.029205766078586607,0.6541281800250855,0.8103448275862069,0.7831407205982325
A,p25,True,A_p25_lipanchored,19.57029454471925,0.6320493381738221,0.7550119763800384,0.08195016070022514,0.6067037938868224,87,0.5984179252755368,0.7910265871859711,0.8869898399514987,2.9133415459173987e-30,0.8571894708382157,0.7768060208491895,0.9080169425939434,0.8682228444341261,0.2494638180570498,0.08854893238303307,0.41037870373106655,0.7550119763800384,-1.2303596556478253,1.729287291761925,-0.2190508393690271,7.216088737510817e-05,0.7586206896551724,0.7017994858611825,58,0.4476767162799977,0.6385429998795185,0.8916472835130572,6.321833272643428e-21,0.8773547189406945,0.7822308194988099,0.9295725482309785,0.8903872405983324,0.23420448919665104,0.07664503657468752,0.39176394181861457,0.599229832547443,-0.9402859825963372,1.4086949609896393,-0.05622595655073598,0.38279088962227525,0.7931034482758621,0.7534336167429693
A,median,False,A_median,20.834088915261407,0.4296901748160563,0.8434358707667351,0.0938536247127402,0.7149490148379523,87,0.7058695825083972,0.8986455592627244,0.8609524434191644,1.1154246722081892e-26,0.8046592411508332,0.6888870049730215,0.8758581961642862,0.8238253931401955,0.3230427238857021,0.14328214926737576,0.5028032985040285,0.8434358707667351,-1.3300915828170987,1.976177030588503,-0.31855477406100313,3.888658116030106e-07,0.7241379310344828,0.6639004149377594,58,0.5275425956468464,0.7083160190422849,0.8748069739696837,2.8625598288751225e-19,0.8347530991415535,0.6777888424204201,0.9102885976326699,0.86163335790748,0.3189591899650442,0.1512159961321132,0.48670238379797515,0.6379606191743562,-0.9314436236166941,1.5693620035467823,-0.18574025611381204,0.008881046162606097,0.7413793103448276,0.6959370904325033
A,median,True,A_median_lipanchored,22.96031909618377,0.41512415197782093,0.8365599254940315,0.1032199848848805,0.7211185603336684,87,0.7119772943197894,0.8945706021028677,0.8661701419023871,2.4582969172158697e-27,0.8043410706565639,0.6853907669212018,0.8764466078461779,0.8245873317393626,0.3293449635732022,0.15104985173172186,0.5076400754146826,0.8365599254940315,-1.3103124903950993,1.9690024175415037,-0.3355519038450803,6.266488823711184e-08,0.735632183908046,0.6875448929751473,58,0.5194473504673389,0.7057004294425614,0.881175029466536,7.246836116073879e-20,0.835000893422534,0.6593635082451189,0.9132652244923707,0.8659094968213709,0.33832851474338965,0.17406661125275885,0.5025904182340204,0.6247205818795404,-0.8861238257405095,1.5627808552272888,-0.1986507360719496,0.004196507826677224,0.7413793103448276,0.7006451612903226
A,min,False,A_min,11.118428699699257,0.7125588549884295,0.8418163197348757,0.049851089233156495,0.5989927121309749,87,0.5894411135765238,0.8477142201744601,0.8620798118540931,8.087378830417471e-27,0.8603149019658345,0.7939506243269234,0.9064337999315562,0.8619845083028482,0.1345739180589847,-0.04484148340012317,0.31398931951809256,0.8418163197348757,-1.5153860686213716,1.784533904739341,-0.015971206737191997,0.787402244233672,0.6896551724137931,0.6358816964285714,58,0.6779392645987956,0.890626068556283,0.8123877619881782,9.878913999235718e-15,0.8040204208497903,0.6904613505929528,0.8790130947506424,0.8034086525061901,0.10318560990143726,-0.13144707825080565,0.3378182980536802,0.8923546260913175,-1.6458294572375451,1.8522006770404196,0.16443051903824044,0.059438854462302994,0.7241379310344828,0.6385041551246537
A,min,True,A_min_lipanchored,14.239225831377382,0.6934919568661897,0.7847008993265788,0.06032112723077279,0.591020391872037,87,0.5824746799317723,0.8024763381026968,0.8743568184223655,2.0061606492750243e-28,0.8646869865708978,0.7975090557457416,0.9102533835025459,0.8698435695188694,0.18785744928587994,0.020614995584885915,0.355099902986874,0.7847008993265788,-1.3501563133942145,1.7258712119659745,-0.10853725943701498,0.0559641213303644,0.7241379310344828,0.6677438307873091,58,0.5771163406395816,0.7642862665480803,0.8520123121282173,2.254353606976335e-17,0.8458716423157542,0.752891828441015,0.9057727523599249,0.848816493220142,0.1516349358784137,-0.04704927355249813,0.3503191453093255,0.7556354351697586,-1.3294105170543131,1.6326803888111405,0.09360772714127477,0.2195750807675944,0.7586206896551724,0.7090301003344481
