d,d_mm,mae_dev,bias_dev,mae_holdout,bias_holdout,n_vanished
0,0.0,0.5487586048199319,0.25441868185418515,0.47927660700742813,0.2943478410077608,0
1,0.059383480703337946,0.5215912887687387,0.1971397881106398,0.4568514242888948,0.2391877544061689,0
2,0.11876696140667589,0.4980947041720901,0.14000309618870213,0.44597134711221204,0.190213447044508,0
3,0.17815044211001382,0.48183455672404507,0.08315080790997963,0.4311254769363776,0.1351813420823629,0
4,0.23753392281335178,0.47020871240072915,0.02663980400311537,0.4181691636908376,0.07993593438780647,0
5,0.2969174035166897,0.46118327656750363,-0.030383126461536205,0.41156305438659957,0.024903829425661377,0
6,0.35630088422002765,0.4616486204022937,-0.0874060569261878,0.40904885876553754,-0.029403046246284877,0
7,0.4156843649233656,0.46656529320639106,-0.1418409142375809,0.4173125702917824,-0.08452047230139453,0
8,0.47506784562670357,0.4776385655503869,-0.1982097163228376,0.4312755327124825,-0.13921129289168138,0
9,0.5344513263300414,0.493608853719762,-0.252388610355337,0.4512091699322461,-0.1940727556678973,0
10,0.5938348070333794,0.5134123045461558,-0.30818860515416313,0.4744498924749458,-0.24850761297929044,0
11,0.6532182877367174,0.5388617180455502,-0.36396015958866773,0.5009100867039772,-0.30243054373289613,0
12,0.7126017684400553,0.5720278679507969,-0.4178262096136304,0.5334786926440046,-0.3564387955794665,0
13,0.7719852491433933,0.6061361451957502,-0.47351244295517037,0.5696027393429008,-0.4100204419612139,0
14,0.8313687298467312,0.642204135959321,-0.528174823181136,0.6097036530362466,-0.46377273052889045,0
15,0.8907522105500691,0.6812861613373633,-0.5818133502915263,0.65031649328738,-0.5178663034684253,0
16,0.9501356912534071,0.7200004126924386,-0.635622519587846,0.6903747464342437,-0.5714052893036905,0
17,1.0095191719567451,0.7552424899520761,-0.6819234327032838,0.7275361554786481,-0.6216167525133376,0
18,1.0689026526600829,0.7987452433775075,-0.729276639298618,0.7667220238279289,-0.6722548211878075,0
19,1.1282861333634209,0.8402032393142669,-0.7812656252783602,0.8088166926998386,-0.7230635320482065,0
20,1.1876696140667589,0.8807023181081143,-0.8299555289968059,0.8502827438806178,-0.772720408153584,0
21,1.2470530947700968,0.9233344242260756,-0.8806078178534367,0.8931565930953123,-0.8237850822928768,0
22,1.3064365754734348,0.9649370886513687,-0.9305206572377075,0.9362437450424179,-0.8750630591645809,0
23,1.3658200561767726,1.0067082702668255,-0.9774188180038972,0.9799792395863387,-0.9261277333038735,0
24,1.4252035368801106,1.0514165229802581,-1.0262793639082723,1.0314451091697037,-0.9828662601253102,0
