comparison,tooth_index,tooth_fdi,n,mae,bias,sd,r
OOF region i vs reference tooth i,1,13,145,0.7536040653219603,0.28141836511652407,1.0141563652074035,0.8516244819633673
OOF region i vs reference tooth i,2,12,145,0.673205402275647,0.3642749594921464,0.8489018156596474,0.8959997146701705
OOF region i vs reference tooth i,3,11,145,0.4563586418188467,0.13672653101671156,0.6511226791813974,0.922716624147077
OOF region i vs reference tooth i,4,21,145,0.5467899397203824,0.1153612755152393,0.8988659593467395,0.848618781809912
OOF region i vs reference tooth i,5,22,145,0.7432433274545591,0.229461173513658,1.1835399610049806,0.7938211365653095
OOF region i vs reference tooth i,6,23,145,0.8168383127112153,0.4908922404682167,1.05528869670253,0.8096450145925139
OOF region i vs GT-mask region i,1,13,145,0.5296618237953825,0.1076882873839988,0.726371202771491,0.918114801426693
OOF region i vs GT-mask region i,2,12,145,0.48574543215706345,0.13972853869122528,0.5926193469932765,0.9511207797204629
OOF region i vs GT-mask region i,3,11,145,0.3839918583719367,-0.03716487506375007,0.49721472724642785,0.9569147361916058
OOF region i vs GT-mask region i,4,21,145,0.3855243564694615,0.18323831603404375,0.44224594403058837,0.9618687098576493
OOF region i vs GT-mask region i,5,22,145,0.49946458521495174,0.09837134783907739,0.7143028600709171,0.9275955256643708
OOF region i vs GT-mask region i,6,23,145,0.6518919833673467,0.2028925789207651,0.9816720758623133,0.8190796676121356
